epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,lr
1,0.10951650575048892,0.972193614830072,0.011170589911599917,0.9981718464351006,0.9981981981981982,1.0,0.0001
2,0.014504748915468872,0.9974253347064882,0.003706833686708546,1.0,1.0,1.0,0.0001
3,0.008716125939958312,0.998712667353244,0.003431737996107674,1.0,1.0,1.0,0.0001
4,0.005820518831437574,0.998712667353244,0.0017463046089381915,1.0,1.0,1.0,0.0001
5,0.010004187237766757,0.9966529351184346,0.005695038306219521,1.0,1.0,1.0,0.0001
6,0.003233347126104352,0.9992276004119465,0.0009100252711199227,1.0,1.0,1.0,0.0001
7,0.004037791985373879,0.9992276004119465,0.000739260692043201,1.0,1.0,1.0,0.0001
8,0.0012192634731841903,1.0,0.0006895902184404516,1.0,1.0,1.0,0.0001
9,0.002759492848498649,0.9994850669412977,0.0002175136655659527,1.0,1.0,1.0,0.0001
10,0.0009085909867142236,1.0,0.00014585265243839698,1.0,1.0,1.0,0.0001
